Description,Title,URL,Compensation,Address,Employment Type
"
        
Project Plan Administrator for Estimating Dept.

High End Residential General Contractor needing an experienced project plan administrator to work with the estimating team to compile, enter, distribute plans and specifications to subcontractors. The position also entails database maintenance, computer entry and strong written and verbal skills.

The ideal candidate will be proficient in Adobe, Microsoft Outlook, Word, Excel and software and comfortable working with people in person and on the telephone.

Health/Dental/401K

Salary commensurate with experience. This is a full time position.

Please email your resume. Salary requirements MUST be included or resume will not be accepted    ",Project Plan Administrator for Estimating Department,https://newyork.craigslist.org/wch/egr/d/project-plan-administrator/6326304537.html,TBD,Westchester,full-time
"
        
Job Title:Architect / Project Manager | Corporate Interiors | Workplace | Commercial Interiors

Position Description:Fantastic career opportunity for an architect with project manager experience to run projects and supervise teams toward delivery of large scale corporate interiors projects. 

Firm Description:
Leading NYC corporate interiors and retail architecture design firm. This mid sized office earns numerous awards annually throughout the NY Tri-State area.  

Bachelor of Architecture or Master of Architecture required. 

10-15 years of experience is required to be considered for this position. 

Corporate interiors/Workplace/Commercial Interiors project experience is a must! 

AutoCAD environment.

Salary:Approximately 80K, or commensurate with level of experience.

Benefits:
Full benefit package, numerous perks and a true work life balance including SUMMER FRIDAYS!

    ",Architect - Project Manager | Corporate Interiors | Workplace,https://newyork.craigslist.org/mnh/egr/d/architect-project-manager/6329607348.html,85K,Midtown,full-time
"
        
Engineering firm based in Long Island City looking for structural engineer for full time position. Must have structural background and bachelor's degree in civil engineering. Candidate will work under the supervision of senior engineer and will perform structural design and field inspections. Ideal candidate should have a minimum 2 years of experience in structural design.    ",Civil Engineer,https://newyork.craigslist.org/que/egr/d/civil-engineer/6326315291.html,Based upon experience,,full-time
"
        
 New York City's leading professional firm dedicated to the preservation of buildings and infrastructure is seeking a recent graduate with an architecture or structural engineering degree and an interest in preservation of buildings and infrastructure. 

SUPERSTRUCTURES works on an array of challenging projects on many of New York's most prominent buildings. We've won frequent awards, as well as the loyalty of some of the premier clients in the region -- public, corporate and residential.  Our work embraces all components of the building envelope and underlying structure - facades, roofs, windows, and plazas - and the full complement of materials, from landmark terra cotta to high performance curtain walls.  

We work in teams. Teams are assigned to projects based on synergies between project requirements and the capabilities of each team member. This arrangement offers employees the dual advantages of a ""small office experience"" coupled with access to the centralized resources of a larger firm. You'll be supported by some of the most sophisticated technology in the profession, including proprietary computer systems and applications, advanced photography and image processing, and state of the art non-destructive diagnostic equipment and techniques.  

Employees typically participate in all phases of a project from inception through completion: proposal, investigation, construction documents, bid negotiation, and construction administration. You'll have the opportunity to see the designs you draw executed in the field, and you'll take on greater responsibility and client exposure as soon as you are ready.  

Frequent lunchtime seminars by industry experts, including our own in-house personnel, keep us current on developments in the profession (with the additional benefit of a free lunch).  

SUPERSTRUCTURES offers top-level compensation for top-level people, and the advancement potential of a thriving company.  

We are committed to a work / life balance, and to a work week of 40 hours.  When, on occasion, more than 40 hours are required, our employees are compensated for every additional hour worked. 
Our benefits include paid holidays, vacation and sick days, health insurance for employee and family, 401(k) with automatic employer contribution, a continuing education allowance, and free NYC Transit MetroCards.  

Our light-filled office is in a landmarked building with 16' high ceilings, 8' tall windows, and drop dead views in three directions - not a bad place to spend the workday. 

Our Tribeca location is one of New York City's most convenient and vibrant, easily accessible via public transportation. The A, C, and E subway lines stop right in the building. The N, R, #1, and #6 lines are each just a few blocks away. 

SUPERSTRUCTURES welcomes applications in reply to this posting. Please include a cover letter with salary requirements, your resume, and a few pages of attachments that display your capabilities (maximum of 10MB please).  

Note: Our thanks in advance to those submitting applications; only those candidates under consideration will be contacted.   

For additional information, visit our website at 
    ",Exterior Restoration / Recent Graduate,https://newyork.craigslist.org/mnh/egr/d/exterior-restoration-recent/6326405413.html,Commensurate with experience,TriBeCa,full-time
"
        
 New York City's leading professional firm dedicated to the preservation of buildings and infrastructure is currently seeking an engineer or architect with 2 to 5 years of restoration experience.  

SUPERSTRUCTURES works on an array of challenging projects on many of New York's most prominent buildings. We've won frequent awards, as well as the loyalty of some of the premier clients in the region -- public, corporate and residential.  Our work embraces all components of the building envelope and underlying structure - facades, roofs, windows, and plazas - and the full complement of materials, from landmark terra cotta to high performance curtain walls.  

We work in teams. Teams are assigned to projects based on synergies between project requirements and the capabilities of each team member. This arrangement offers employees the dual advantages of a ""small office experience"" coupled with access to the centralized resources of a larger firm. You'll be supported by some of the most sophisticated technology in the profession, including proprietary computer systems and applications, advanced photography and image processing, and state of the art non-destructive diagnostic equipment and techniques.  

Employees typically participate in all phases of a project from inception through completion: proposal, investigation, construction documents, bid negotiation, and construction administration. You'll have the opportunity to see the designs you draw executed in the field, and you'll take on greater responsibility and client exposure as soon as you are ready.  

Frequent lunchtime seminars by industry experts, including our own in-house personnel, keep us current on developments in the profession (with the additional benefit of a free lunch).  

SUPERSTRUCTURES offers top-level compensation for top-level people, and the advancement potential of a thriving company.  

We are committed to a work / life balance, and to a work week of 40 hours.  When, on occasion, more than 40 hours are required, our employees are compensated for every additional hour worked. 
Our benefits include paid holidays, vacation and sick days, health insurance for employee and family, 401(k) with automatic employer contribution, a continuing education allowance, and free NYC Transit MetroCards.  

Our light-filled office is in a landmarked building with 16' high ceilings, 8' tall windows, and drop dead views in three directions - not a bad place to spend the workday. 

Our Tribeca location is one of New York City's most convenient and vibrant, easily accessible via public transportation. The A, C, and E subway lines stop right in the building. The N, R, #1, and #6 lines are each just a few blocks away. 

SUPERSTRUCTURES welcomes applications in reply to this posting. Please include a cover letter with salary requirements, your resume, and a few pages of attachments that display your capabilities (maximum of 10MB please).  

Note: Our thanks in advance to those submitting applications; only those candidates under consideration will be contacted.   

For additional information, visit our website at 
    ",Facade / Building Envelope Engineer or Architect,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6326403557.html,Commensurate with experience,TriBeCa,full-time
"
        
 New York City's leading professional firm dedicated to the preservation of buildings and infrastructure is currently seeking a project architect or engineer with 5 to 10 years of restoration experience.  

SUPERSTRUCTURES works on an array of challenging projects on many of New York's most prominent buildings. We've won frequent awards, as well as the loyalty of some of the premier clients in the region -- public, corporate and residential.  Our work embraces all components of the building envelope and underlying structure - facades, roofs, windows, and plazas - and the full complement of materials, from landmark terra cotta to high performance curtain walls.  

We work in teams. Teams are assigned to projects based on synergies between project requirements and the capabilities of each team member. This arrangement offers employees the dual advantages of a ""small office experience"" coupled with access to the centralized resources of a larger firm. You'll be supported by some of the most sophisticated technology in the profession, including proprietary computer systems and applications, advanced photography and image processing, and state of the art non-destructive diagnostic equipment and techniques.  

Employees typically participate in all phases of a project from inception through completion: proposal, investigation, construction documents, bid negotiation, and construction administration. You'll have the opportunity to see the designs you draw executed in the field, and you'll take on greater responsibility and client exposure as soon as you are ready.  

Frequent lunchtime seminars by industry experts, including our own in-house personnel, keep us current on developments in the profession (with the additional benefit of a free lunch).  

SUPERSTRUCTURES offers top-level compensation for top-level people, and the advancement potential of a thriving company.  

We are committed to a work / life balance, and to a work week of 40 hours.  When, on occasion, more than 40 hours are required, our employees are compensated for every additional hour worked. 
Our benefits include paid holidays, vacation and sick days, health insurance for employee and family, 401(k) with automatic employer contribution, a continuing education allowance, and free NYC Transit MetroCards.  

Our light-filled office is in a landmarked building with 16' high ceilings, 8' tall windows, and drop dead views in three directions - not a bad place to spend the workday. 

Our Tribeca location is one of New York City's most convenient and vibrant, easily accessible via public transportation. The A, C, and E subway lines stop right in the building. The N, R, #1, and #6 lines are each just a few blocks away. 

SUPERSTRUCTURES welcomes applications in reply to this posting. Please include a cover letter with salary requirements, your resume, and a few pages of attachments that display your capabilities (maximum of 10MB please).  

Note: Our thanks in advance to those submitting applications; only those candidates under consideration will be contacted.   

For additional information, visit our website at 
    ",Facade / Building Envelope Project Architect or Engineer,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6326406851.html,Commensurate with experience,TriBeCa,full-time
"
        
Established Architectural Design firm has an excellent opportunity and is seeking Associate Architects to perform all phases of architectural design services, primarily projects out of the ground. Responsibilities will include planning and zoning studies, designing, producing construction documents, and architectural construction administration. Individual must be capable of handling a project 100% on his/her own, in addition to managing a team of four.

Qualifications:
- Ideal candidate with seven to ten years experience
- Highly experienced in mixed-use projects
- Detail oriented in production of Construction Documents
- Extensive knowledge of New York City resolution and Building Codes
- Extremely capable of managing a project from beginning to end, while managing and ensuring an organized team effort
- Excellent drawing skills and familiarity with design software (Revit and Sketch-Up is a big plus++)
- Strong organizational, communication, and project management skills 

Firm provides health benefits, vacation, PTO, profit-sharing and 401(k) 

We look forward to your resume.    ",Architectural Design Firm Seeking Experienced Associate Architect,https://newyork.craigslist.org/mnh/egr/d/architectural-design-firm/6314110451.html,TBD,Midtown West,full-time
"
        
Industrial Painting Contractor located in Queens, NY is looking for Civil or Environmental Engineering candidates to fill a position as an Estimator/Asst Project Manager.  Task entails, but not limited to, project estimating, oversight of project activities, preparation of project documentation, preparation and submission of cost analysis, ensuring all work complies with company safety and quality standards, ensure project budgets are maintained and effectively communicate with clients. The selected candidate will receive extensive training in estimating and civil engineering construction contract management techniques as they work alongside other experienced engineers.   Opportunity to work on some of the largest and prestigious mega construction projects within the NYC Metro Area.    ",Estimator/Asst. Project Manager,https://newyork.craigslist.org/que/egr/d/estimator-asst-project-manager/6314824941.html,TBD,Queens,full-time
"
        
Midtown Architectural and Expediting Firm with a wide variety of projects including high-end residential, commercial projects seeks a Class 2 filing representative (expediter) to join our firm as a project manager.

Requirements:
-Knowledge of NYC Building Codes and Zoning Resolution
- Experience preparing and filing all necessary forms and documents to NYC DOB, Government and agencies other
-Experience with Alteration Type 1 and NB Filings
- Knowledge of Building Code and NYC Zoning is a plus.
- Must be registered with the Department of Buildings as a level 2 expediter 
- Fire alarm (FDNY expediter licensed)

Responsibilities:
- Assisting engineer/architect to prepare documents
- Code & zoning consultation
- Property Research
- Violation Search & Removal
- Schedule and attend plan examination appoint. & inspections
- Code & zoning consultation
- Respond to objections by meeting with plan examiners to discuss reasons for rejection, and remedies

We offer a full benefits package

Please e-mail resume
With salary requirements    ",Expediter - Codes/Zoning,https://newyork.craigslist.org/mnh/egr/d/expediter-codes-zoning/6314829864.html,Salary based upon experience,Midtown,full-time
"
        
Established architectural design firm with in-house DOB expediting services is seeking a DOB Class 2 Filing Representative to join our team. Candidates must possess comprehensive knowledge regarding NYC Building Department and City Agency's procedures in order to obtain approvals, permits, and closeouts. 

The candidate must meet the following requirements:
- At least 4 to 6 years or more experience as a DOB Class 2 Filing Representative
- Possess an active Filing Representative license
- Must be able to work as a team within our organization
- Must be able to multi-task in order to coordinate a large number of projects
- Strong communication and organizational skills
- Must be able to decipher DOB records in order to guide clients through the CO/closeout process

Position Responsibilities include:
- Review of plans to ensure compliance with NYC Construction Codes and Zoning Resolution
- Prepare all types of DOB applications/forms and other city agencies
- Communicate with clients, consultants and contractors
- Update necessary internal software systems as necessary
- Attend project meetings to discuss project status

Interested candidates - please forward resume/salary requirements and references. 

Firm provides health benefits, profit sharing and 401(k)

We look forward to your resume.    ",Architectural Firm Seeking DOB Class 2 Filing Representative,https://newyork.craigslist.org/mnh/egr/d/architectural-firm-seeking/6314956813.html,TBD,Midtown West,full-time
"
        
Looking to hire a mechanical engineer to assist in designing building automation systems. Experience of 1-3 years in HVAC is a plus. We will provide training.    ",Mechanical Engineer,https://newyork.craigslist.org/que/egr/d/mechanical-engineer/6314851303.html,Competitive salary package will be offered.,,full-time
"
        
Overview

Judlau Contracting, Inc. is a leader in the heavy construction industry, specializing in large public works projects, including bridges, tunnels, subways, highways, electrical and signal modernization, performed by design-build and design-bid-build. The company is headquartered in New York and maintains offices in Virginia and Chicago to serve the Mid-Atlantic and Midwest regions, respectively.
 
Provide technical engineering and project control support to company supervision and crafts on Heavy Civil and transportation construction projects. Insures work complies with all appropriate standards, codes and specifications. Works with Project Manager, Superintendents, Project Controls, Estimating, and Finance to implement policies and procedures required for project management. 
Responsibilities

Tracks contractual changes and report changes to Project Engineer or Project Manager for payment.
Assist in the preparation/maintenance of project schedules, quantity tracking, and labor cost reports.
Assist in development of project status reports and profit projections.
Research and resolve drawing interpretations, problems, and errors.
Review/redline drawings for contractual changes. Verify that all completed work complies with applicable codes, drawing and specifications.
Maintain a good knowledge of the contract specifications, documents and the scope of work, including subcontracts and purchase orders.
May provide subcontract coordination.
May provide supervision to Field Engineers, and technical direction to crafts, and/or Superintendents assigned to area of work to insure work is completed in proper sequence.
Perform required design for temporary project works. (ie, formwork, scaffolding, lifting beams, support of excavation, barge loading diagrams, critical lift plans etc.)
Maintain high regard for Judlau/OHL Code of Conduct.
Perform additional assignments per supervisor's direction. 
Qualifications

Requirements:
Four year Engineering or Construction Management degree or equivalent combination of technical education and related experience 
Minimum of three years construction experience
Experience on Heavy Civil and Transportation projects preferred.
Working knowledge equipment, and overall engineering standards is necessary.
Skills:
Ability to assume responsibility, interfaces, and communicates effectively with others. 
 
OHL USA, Inc. and its subsidiaries (""OHL"") shall not accept unsolicited resumes from any source other than directly from a candidate. Any unsolicited resumes sent to OHL or an employee of OHL, by mail, electronically, or otherwise will be considered OHL property. OHL will not pay a fee for any placement resulting from the receipt of an unsolicited resume. OHL will consider any candidate for whom an Agency has submitted an unsolicited resume to have been referred by the Agency free of any charges or fees. OHL Human Resources is the only authorized representative of OHL to execute any agreements with search firms or staffing agencies. As a condition for payment, a Vendor shall have OHL USA Inc.'s Personnel Agreement and a Job Order signed by an authorized OHL HR representative. Verbal or written communications from any employee of OHL and its subsidiaries shall not be considered binding obligations. All resumes whether unsolicited or solicited shall be the property of OHL.


APPLY THROUGH SITE:
    ",Project Engineer (NIGHTS),https://newyork.craigslist.org/que/egr/d/project-engineer-nights/6314837149.html,"Medical, Dental, 401k",,full-time
"
        
Industrial Painting Contractor located in Queens, NY is looking for a Project Manager with 3+ years relative experience. Task entails, but not limited to, oversight of project activities, preparation of project documentation, preparation and submission of cost analysis,  ensuring all work complies with company safety and quality standards, ensure project budgets are maintained and effectively communicate with clients.    ",Project Manager,https://newyork.craigslist.org/que/egr/d/project-manager/6314828743.html,TBD,Queens,full-time
"
        
Technical Position available at well established concrete testing lab and special inspections agency. Candidate must be a NY State Licensed P.E. residing in or close to metro NYC area with minimum of 5 years experience in structural concrete. Duties include oversight of lab and field operations, quality manuals and quality assurance system. Great pay, holidays, benefits, vacation. Please forward resume.    ","Technical Director, P.E.",https://newyork.craigslist.org/que/egr/d/technical-director-pe/6314978739.html,$125k,"Queens, NY",full-time
"
        
Premier MEP/FP consulting engineering firm located in midtown Manhattan has been partnering with select developers, architects, institutions and municipal agencies to provide exceptional building design and application services.

Currently we offer excellent career opportunities for Electrical Engineers with 3+ years experience working in the MEP industry. 

The ideal candidate will have substantial experience in performing low voltage, Information Technologies (IT) and/or audio visual (AV) MEP designs for high-rise projects and buildings of all types.  The candidate will also have experience in MDF/IDF room layout and design, LV POE coordination, security system design, audio visual design, and IT system design.

You will be expected to design Low Voltage, IT, and AV systems that conform to the appropriate building codes and standards.  Applicant should proficient at independently sizing and selecting equipment.  Provide intelligent building systems for a variety of project types simultaneously with varying sizes and levels of complexity. You will be expected to coordinate with larger teams and effectively manage project scopes, budget and scheduling/deadlines.Project experience should include active participation for the concept design phase through construction.

This position requires excellent verbal and written communication skills with an emphasis on the ability to organize and present information to our clients and city agencies. 

Job Requirements:
-A BS in Engineering and a minimum of 3 years of experience in Low Voltage, IT, and AV design.  Electrical and Fire Alarm design a plus.
-CAD and Revit experience preferred.  Experience in New York City preferred.
-Ability to independently design Low Voltage, IT, and AV design systems. Direct and train staff.  
-Answer RFI's and Submittals in a timely fashion.
-Ability to provide technical leadership and proven track record of teamwork.
-Excellent verbal and written communication skills a must.
-Ability to professionally represent our firm to clients and agencies at meetings and through written correspondence is essential.

Come work in a growing, fast-paced, open/friendly environment where your contributions are always recognized. 

Candidates must be authorized to work in the United States.

Send resume and salary requirements
Label resume file with your full name

NO CALLS.

Visit our new website at:
www.ettingerengineering.com

Equal Opportunity Employer
    ",MEP Electrical Engineer -Low Voltage/IT/AV- 3+ years,https://newyork.craigslist.org/mnh/egr/d/mep-electrical-engineer-low/6314966887.html,Commensurate with experience,Midtown West,full-time
